State_Abrvtn,Cnsmr,New_Cnsmr,Tot_Renrl,Year,Churn_Rate,Median_Income
AK,22786,5909,16877,2022,25.93,88121.0
AL,219314,50917,168397,2022,23.22,59674.0
AR,88226,23764,64462,2022,26.94,55432.0
AZ,199706,48940,150766,2022,24.51,74568.0
CA,1777442,255575,1521867,2022,14.38,91551.0
CO,198412,37164,161248,2022,18.73,89302.0
CT,112633,19267,93366,2022,17.11,88429.0
DC,15989,2753,13236,2022,17.22,101027.0
DE,32113,7087,25026,2022,22.07,82174.0
FL,2723094,593885,2129209,2022,21.81,69303.0
GA,701135,179768,521367,2022,25.64,72837.0
HI,22327,4082,18245,2022,18.28,92458.0
IA,72240,15912,56328,2022,22.03,69588.0
ID,73359,11041,62318,2022,15.05,72785.0
IL,323427,68023,255404,2022,21.03,76708.0
IN,156926,35898,121028,2022,22.88,66785.0
KS,107784,23178,84606,2022,21.5,68925.0
KY ,73935,11755,62180,2022,15.9,
LA,99626,23222,76404,2022,23.31,55416.0
MA,268023,25759,242264,2022,9.61,94488.0
MD,181603,39658,141945,2022,21.84,94991.0
ME,66095,11025,55070,2022,16.68,69543.0
MI,303550,62475,241075,2022,20.58,66986.0
MN,121322,26142,95180,2022,21.55,82338.0
MO,250341,46810,203531,2022,18.7,64811.0
MS,143014,36935,106079,2022,25.83,52719.0
MT,51134,10121,41013,2022,19.79,67631.0
NC,670223,150846,519377,2022,22.51,67481.0
ND,29873,6627,23246,2022,22.18,71970.0
NE,99011,17586,81425,2022,17.76,69597.0
NH,52497,9586,42911,2022,18.26,89992.0
NJ,324266,58005,266261,2022,17.89,96346.0
NM,45664,12331,33333,2022,27.0,59726.0
NV,101411,20562,80849,2022,20.28,72333.0
NY,221895,35075,186820,2022,15.81,79557.0
OH,259999,74767,185232,2022,28.76,65720.0
OK,189444,30846,158598,2022,16.28,59673.0
OR,146602,29040,117562,2022,19.81,75657.0
PA,374776,67570,307206,2022,18.03,71798.0
RI,32345,4760,27585,2022,14.72,81854.0
SC,300392,74749,225643,2022,24.88,64115.0
SD,41339,9376,31963,2022,22.68,69728.0
TN,273680,65799,207881,2022,24.04,65254.0
TX,1840947,503079,1337868,2022,27.33,72284.0
